string,count
ն,22913
ր,16228
մ,14751
կ,12697
թ,7806
տ,7630
ս,6059
ց,5842
հ,5596
բ,5326
ղ,5285
գ,5264
պ,4788
լ,4650
յ,4254
խ,3988
ռ,3235
ծ,2879
վ,2521
զ,2451
ք,2380
շ,2162
փ,2066
ստ,2044
դ,2020
չ,1687
յն,1482
ճ,1380
մն,1342
րդ,1292
ջ,1210
նդ,1197
ձ,1059
րտ,1051
րկ,977
րծ,839
ռն,805
նկ,797
ժ,793
նք,692
րձ,678
զմ,645
յր,591
րգ,582
նգ,566
րհ,539
հր,509
յլ,508
շտ,490
րմ,461
սն,433
մբ,429
գն,399
շխ,379
զգ,354
րժ,346
դր,337
սկ,327
րթ,325
նչ,324
նմ,319
սպ,314
տր,298
գր,297
նթ,289
րպ,284
կց,277
կն,276
նտ,272
նձ,262
րբ,253
տն,253
դժ,242
նց,241
նջ,235
յց,230
նհ,228
բն,225
յտ,224
մտ,217
նքն,215
խտ,207
յծ,206
քր,204
յթ,203
ղկ,200
նպ,193
րս,190
յս,190
րք,189
նխ,187
ղջ,185
րշ,182
ղծ,180
նշ,180
սր,178
կր,172
ղբ,169
նծ,169
շն,168
տկ,160
նբ,159
նձն,158
նր,155
ղմ,151
հմ,150
րճ,150
ղխ,147
նճ,140
նյ,140
նս,140
ղձ,139
խր,138
րմն,138
յք,135
րջ,132
րկր,130
ցկ,124
ղղ,122
զր,121
րփ,120
զն,119
շրջ,119
սրբ,116
րկն,114
ծն,113
ղն,110
ղտ,109
րձր,107
րր,105
թն,105
մպ,103
նն,103
սք,100
խն,97
րն,97
ղցր,94
կտ,92
կռ,91
րչ,90
նձր,90
նփ,90
հն,89
պտ,89
ջր,88
ղթ,87
քս,86
նդդ,82
մշտ,82
մր,81
գլ,79
լչ,79
յզ,78
վտ,77
ջն,77
րց,77
գլխ,75
նզ,74
րհրդ,72
յգ,70
նվ,69
սխ,68
ղդ,67
նդր,66
պր,65
շկ,64
ղմն,64
րզ,64
մս,63
խճ,63
սրտ,63
քն,62
շնչ,61
ղք,60
վր,60
հպ,60
սկզբն,60
բռն,60
խնդ,59
տմ,58
նտր,57
ղց,56
պտղ,55
վս,54
պս,52
ճշմ,51
նգն,51
նստ,51
ղփ,50
ձգ,50
վն,48
վշտ,46
խստ,45
շմ,44
գտ,44
վբ,44
կք,43
տղ,43
ծկ,42
տճ,40
նժ,40
մշտնջ,40
տգ,40
սփ,39
տպ,39
րմր,39
տնկ,39
սղ,38
րստ,38
պնդ,37
խնկ,37
բր,37
գթ,36
ղր,36
յտն,36
հռչ,35
կշ,35
յկ,35
փշ,35
րծր,35
զդ,34
տշ,34
նզգ,34
րխ,34
խռ,34
ձմ,34
ցք,33
փրկ,33
կղ,33
նլ,33
հնչ,33
րհն,32
քնն,32
զբ,32
պռ,32
խմբ,32
նրբ,32
րսն,31
փկ,31
ղգ,30
լք,30
ստր,30
լծ,30
հռ,30
վկ,29
ստն,29
յճ,29
մթ,29
շք,29
կրկն,29
պղծ,28
րթն,28
նկն,28
նդվ,28
ցրտ,28
սգ,28
ստղ,27
նդն,27
րդն,27
հնգ,27
րդկ,27
յժ,26
ստկ,26
խլ,26
փս,26
սլ,26
կրթ,26
մբռն,25
պղ,25
ղս,25
պղնձ,25
թռ,24
ժկ,24
լր,24
յռ,24
նդնդ,24
րկբ,24
լս,24
ծխ,24
պճն,24
տք,23
լլ,23
չք,23
ռնկ,23
րդմն,23
փն,23
մրց,23
քտ,23
թշն,23
ճգն,23
տրտմ,23
թշ,22
ռկ,22
րփն,22
յղ,22
տղմ,22
փր,21
կծ,21
մխ,21
ծննդ,21
հսկ,21
վթ,20
դժն,20
վրդ,20
նդհ,20
գրկ,20
տռփ,20
քրտն,20
թխ,19
տժ,19
րսպ,19
կշռ,19
ցն,19
կսկծ,19
հկ,18
ղճ,18
փթ,18
գղ,18
նգր,18
ննմ,18
գծ,18
վզ,18
կտր,18
գնդ,18
հրճ,18
մկ,18
րքս,18
շլ,18
տխր,18
ծր,17
ռք,17
հզ,17
շփ,17
նհն,17
սմն,17
գռ,17
հմտ,17
փք,17
ցս,17
սթ,17
սմ,17
մշ,17
յստ,17
ճկ,16
թք,16
ժշտ,16
քշ,16
բժշկ,16
ճր,16
կնք,16
չքն,16
ճշգրտ,16
ղպ,15
ճռ,15
տտ,15
նգստ,15
զկ,15
կլ,15
բղխ,15
ծփ,15
քթ,15
խնդր,15
խծ,15
թթ,15
ժր,15
լռ,15
չմ,15
տթ,15
ղվ,14
ջք,14
տխ,14
մփ,14
ղյ,14
նխն,14
ղտկ,14
ռթ,14
ֆ,14
թր,14
վճ,14
րբն,14
րսռ,14
մբշ,14
մրգ,14
ձկն,14
չխ,14
րշտ,13
նձկ,13
նմտ,13
ջնջ,13
գրգ,13
փլ,13
րկպ,13
զղջ,13
թղթ,13
կշտ,13
ցր,13
րքն,13
փրփր,13
